// smearing coefficients: 0.203312 , 0.148887 , 0.000109966

52,7.90894,0.63824,1.45983,0.372242,0.969733,0.00639258,7.90894,3.6798681236
53,7.64353,0.64469,1.46924,0.378006,0.973639,0.0065116,7.64353,3.5534818528
54,7.22603,0.641014,1.46357,0.382848,0.97322,0.0112588,7.22603,3.2745681475
55,6.69019,0.643962,1.4288,0.379703,0.980499,0.0107509,6.69019,3.0029892217
56,6.07682,0.640533,1.42871,0.378888,0.991778,0.0106728,6.07682,2.6115145596
57,5.42853,0.639255,1.41535,0.381941,1.00078,0.0107039,5.42853,2.2323730593
58,4.78473,0.637708,1.41535,0.384898,1.00416,0.0124982,4.78473,1.8576420406
19,4.30074,0.484407,0.64905,0.378491,1.13838,-0.0359463,4.30074,1.5228119413
59,4.1776,0.478969,0.654211,0.383288,1.1417,-0.0359572,4.1776,1.4388056211
18,4.15713,0.482033,0.651183,0.381154,1.15086,-0.0372072,4.15713,1.4440064058
17,3.93118,0.483813,0.671194,0.384896,1.15476,-0.0372072,3.93118,1.334194128
16,3.64108,0.491455,0.756647,0.389524,1.14793,-0.0287163,3.64108,1.1686678169
60,3.62976,0.491472,0.756725,0.38941,1.15795,-0.0287582,3.62976,1.1609972359
15,3.30884,0.492328,0.763815,0.397945,1.15642,-0.0285908,3.30884,1.0213293777
61,3.15389,0.482298,0.765701,0.407665,1.16269,-0.0328475,3.15389,0.9179464695
4,2.96445,0.502392,0.746104,0.413252,1.16222,-0.0329848,2.96445,0.916271797
14,2.95748,0.497687,0.762659,0.416414,1.16369,-0.0291255,2.95748,0.8844674953
5,2.86088,0.497596,0.749641,0.420587,1.17126,-0.0347923,2.86088,0.8514302618
62,2.754,0.50223,0.855371,0.420049,1.17056,-0.0335295,2.754,0.7440410907
6,2.69813,0.51219,0.806467,0.42312,1.17463,-0.0287136,2.69813,0.7829538462
13,2.60832,0.514298,0.800291,0.463384,1.16359,-0.0349941,2.60832,0.7357906449
7,2.48962,0.514292,0.800285,0.463371,1.16356,-0.0350485,2.48962,0.689820346
63,2.42779,0.512092,0.863765,0.462107,1.15968,-0.0291861,2.42779,0.6166386897
12,2.27882,0.516687,0.824503,0.466294,1.15474,-0.0226147,2.27882,0.5995268962
8,2.25152,0.516687,0.801063,0.470048,1.14973,-0.0167593,2.25152,0.6047354935
9,2.0007,0.527942,0.859646,0.476457,1.14986,-0.0170873,2.0007,0.4951384758
25,1.98127,0.528078,0.860322,0.477265,1.14554,-0.0102762,1.98127,0.4886539034
20,1.98127,0.535545,0.895802,0.488419,1.14413,-0.0135878,1.98127,0.4731677808
34,1.97458,0.563482,0.884402,0.490558,1.14582,-0.0135114,1.97458,0.5316947797
33,1.90062,0.569768,0.906556,0.502584,1.13494,-0.0072021,1.90062,0.4962421704
32,1.78465,0.590047,0.886484,0.578377,1.11213,-0.0291067,1.78465,0.4611962756
10,1.75268,0.583863,0.913917,0.58209,1.11718,-0.0270107,1.75268,0.4168182107
24,1.72261,0.587179,0.907577,0.579723,1.11406,-0.0233096,1.72261,0.4175397917
21,1.72261,0.608766,0.971558,0.598806,1.10737,-0.0275016,1.72261,0.4026096933
31,1.63655,0.609095,0.926046,0.601159,1.10369,-0.0204272,1.63655,0.3995984813
11,1.52003,0.614712,0.954118,0.610919,1.09834,-0.0200989,1.52003,0.3428029303
23,1.50509,0.616219,0.95451,0.610987,1.09804,-0.0183859,1.50509,0.339454928
22,1.50509,0.619775,0.979138,0.614777,1.09582,-0.0108398,1.50509,0.3277364048
30,1.46825,0.698253,1.12925,0.596591,1.06738,0.00726343,1.46825,0.3555799627
29,1.29208,0.705022,1.11986,0.620047,1.06543,0.00992036,1.29208,0.2869295271
3,1.21767,0.707115,1.12455,0.622049,1.0614,0.00791798,1.21767,0.2589033623
28,1.1193,0.707824,1.12162,0.624396,1.06135,0.0115417,1.1193,0.2255506721
2,1.05264,0.70971,1.12532,0.624334,1.06132,0.011671,1.05264,0.2037972448
27,0.95882,0.696872,1.11367,0.599017,1.03905,0.0783291,0.95882,0.1821713571
26,0.81657,0.695928,1.11754,0.606728,1.04063,0.0805831,0.81657,0.1344287123
1,0.80879,0.697076,1.11755,0.609169,1.0406,0.0878459,0.80879,0.1319318056
35,0.69544,0.680441,1.054,0.614492,1.0095,0.1342,0.69544,0.1076797941
40,0.68765,0.694548,1.08345,0.597421,1.01014,0.155665,0.68765,0.1137203896
0,0.66201,0.699125,1.09138,0.609937,1.00924,0.156362,0.66201,0.1013786154
41,0.65189,0.716145,1.10872,0.607332,1.00749,0.163309,0.65189,0.1053141137
42,0.59641,0.716137,1.10336,0.610362,1.00296,0.168783,0.59641,0.0908732392
36,0.59575,0.698722,1.11426,0.607998,1.0156,0.168194,0.59575,0.0799408306
37,0.51611,0.698405,1.1127,0.610402,1.01288,0.172223,0.51611,0.0619347778
43,0.48874,0.69665,1.10096,0.611508,1.0235,0.171697,0.48874,0.060136948
38,0.45421,0.696196,1.13013,0.613714,1.02699,0.168561,0.45421,0.0463259975
39,0.38915,0.696868,1.1316,0.613276,1.02248,0.175284,0.38915,0.0354080444
44,0.37184,0.691322,1.1316,0.614238,1.03744,0.171283,0.37184,0.0335066748
45,0.26609,0.698156,1.13978,0.627265,1.03768,0.167186,0.26609,0.0184277187
46,0.18371,0.699254,1.13998,0.635861,1.03666,0.168229,0.18371,0.009938971
