7.90894 3.6798681236
7.64353 3.5534818528
7.22603 3.2745681475
6.69019 3.0029892217
6.07682 2.6115145596
5.42853 2.2323730593
4.78473 1.8576420406
4.30074 1.5228119413
4.1776  1.4388056211
4.15713 1.4440064058
3.93118 1.334194128
3.64108 1.1686678169
3.62976 1.1609972359
3.30884 1.0213293777
3.15389 0.9179464695
2.96445 0.916271797
2.95748 0.8844674953
2.86088 0.8514302618
2.754   0.7440410907
2.69813 0.7829538462
2.60832 0.7357906449
2.48962 0.689820346
2.42779 0.6166386897
2.27882 0.5995268962
2.25152 0.6047354935
2.0007  0.4951384758
1.98127 0.4886539034
1.98127 0.4731677808
1.97458 0.5316947797
1.90062 0.4962421704
1.78465 0.4611962756
1.75268 0.4168182107
1.72261 0.4175397917
1.72261 0.4026096933
1.63655 0.3995984813
1.52003 0.3428029303
1.50509 0.339454928
1.50509 0.3277364048
1.46825 0.3555799627
1.29208 0.2869295271
1.21767 0.2589033623
1.1193  0.2255506721
1.05264 0.2037972448
0.95882 0.1821713571
0.81657 0.1344287123
0.80879 0.1319318056
0.69544 0.1076797941
0.68765 0.1137203896
0.66201 0.1013786154
0.65189 0.1053141137
0.59641 0.0908732392
0.59575 0.0799408306
0.51611 0.0619347778
0.48874 0.060136948
0.45421 0.0463259975
0.38915 0.0354080444
0.37184 0.0335066748
0.26609 0.0184277187
0.18371 0.009938971
0.12684 0.0057883958
0.10089 0.0044738571
0.07506 0.003306918
0.05996 0.0031442918

