// smearing coefficients 0.13267 , 0.11154 , 0.00052

52 , 7.90894 , 0.6343 , 1.46577 , 0.378954 , 0.968727 , 0.00465262 , 
53 , 7.64353 , 0.639124 , 1.42786 , 0.389033 , 0.972273 , 0.00514728 , 
54 , 7.22603 , 0.637561 , 1.44583 , 0.388096 , 0.979421 , 0.00514728 , 
55 , 6.69019 , 0.631787 , 1.41164 , 0.389254 , 0.997575 , 0.00445487 , 
56 , 6.07682 , 0.632067 , 1.41706 , 0.389052 , 0.998382 , 0.00911071 , 
57 , 5.42853 , 0.633013 , 1.41408 , 0.386004 , 0.996086 , 0.0211382 , 
58 , 4.78473 , 0.628868 , 1.39808 , 0.387338 , 1.01151 , 0.0177288 , 
19 , 4.30074 , 0.627394 , 1.34279 , 0.383712 , 1.01106 , 0.0231283 , 
59 , 4.1776 , 0.625675 , 1.34278 , 0.385399 , 1.0167 , 0.0258896 , 
18 , 4.15713 , 0.526397 , 0.856889 , 0.365798 , 1.02812 , -0.0182636 , 
17 , 3.93118 , 0.523228 , 0.880372 , 0.365636 , 1.02751 , -0.0124501 , 
16 , 3.64108 , 0.534249 , 0.971848 , 0.382319 , 1.02165 , -0.0198691 , 
60 , 3.62976 , 0.538089 , 0.988382 , 0.38423 , 1.03337 , -0.0225202 , 
15 , 3.30884 , 0.542056 , 0.985704 , 0.38803 , 1.04311 , -0.0263164 , 
61 , 3.15389 , 0.538941 , 1.05043 , 0.385987 , 1.03935 , -0.0191629 , 
4 , 2.96445 , 0.567788 , 1.0373 , 0.391909 , 1.04146 , -0.0246579 , 
14 , 2.95748 , 0.565837 , 1.07379 , 0.391477 , 1.03635 , -0.0166628 , 
5 , 2.86088 , 0.566076 , 1.07529 , 0.388357 , 1.03668 , -0.0102666 , 
62 , 2.754 , 0.559675 , 1.13077 , 0.392785 , 1.03669 , -0.0116134 , 
6 , 2.69813 , 0.578727 , 1.10675 , 0.393056 , 1.0344 , -0.00590944 , 
13 , 2.60832 , 0.583194 , 1.13129 , 0.407981 , 1.02422 , 0.00238292 , 
7 , 2.48962 , 0.583569 , 1.11344 , 0.408586 , 1.02444 , 0.0129068 , 
63 , 2.42779 , 0.588031 , 1.21131 , 0.405734 , 1.02403 , 0.0154014 , 
12 , 2.27882 , 0.593486 , 1.16138 , 0.409875 , 1.01908 , 0.0227955 , 
8 , 2.25152 , 0.594654 , 1.15559 , 0.412427 , 1.01915 , 0.0224868 , 
9 , 2.0007 , 0.596835 , 1.14417 , 0.433835 , 1.0161 , 0.0171827 , 
25 , 1.98127 , 0.611464 , 1.18413 , 0.432302 , 1.01846 , 0.0110215 , 
